Code,Description,Defined Category,Area,Type
32946,Neuro - extracranial arterial stent,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial stent
32947,Neuro - intracranial arterial stent,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial stent
32948,Angio - extracranial carotid selective,Neuro dx/intervention,Neurovascular Interventions,Selective neuro angiography
32949,Angio - intracranial carotid selective,Neuro dx/intervention,Neurovascular Interventions,Selective neuro angiography
32943,new outpatient clinic evaluation,New Outpatient Eval,Patient Evaluation,New Outpatient Clinic Evaluation
31670,Thrombolysis catheter check arterial,Other,Arterial Interventions,Thrombolysis catheter check arterial
31671,Thrombolysis catheter change arterial,Other,Arterial Interventions,Thrombolysis catheter change arterial
31685,Arterial foreign body retrieval,Other,Arterial Interventions,Arterial foreign body retrieval
31690,Arterial line placement for monitoring,Other,Arterial Interventions,Arterial line placement for monitoring
31724,Venous thrombolysis catheter check,Other,Venous Interventions,Venous thrombolysis catheter check
31743,Venous foreign body repostioning venous,Other,Venous Interventions,Venous foreign body retrieval
31744,Venous sampling - Neuro,Other,Venous Interventions,Venous sampling
31745,Venous sampling - petrosal sinus,Other,Venous Interventions,Venous sampling
31746,Venous sampling - renal vein,Other,Venous Interventions,Venous sampling
31747,Venous sampling - adrenal vein,Other,Venous Interventions,Venous sampling
31748,Venous sampling - parathyroid vein,Other,Venous Interventions,Venous sampling
31749,Venous sampling - portal vein,Other,Venous Interventions,Venous sampling
31750,Venous sampling - gonadal vein,Other,Venous Interventions,Venous sampling
31751,Venouos peripheral ablation,Other,Venous Interventions,Venous sampling
31752,Phlebectomy,Other,Venous Interventions,Venous sampling
31753,Venous sclerotherapy,Other,Venous Interventions,Venous sampling
31783,Venous access line check,Other,Venous Access General,Venous access line check
31787,Venous access reposition,Other,Venous Access General,Venous access reposition
31788,Venous access repair,Other,Venous Access General,Venous access repair
31798,Dialysis access occlusion/reduction,Other,Dialysis Shunt Management,Dialysis access occlusion/reduction
31799,Percutaneous AVF creation,Other,Dialysis Shunt Management,Percutaneous AVF creation
31906,Drainage tube check,Other,Drainage Procedures,Drainage tube check
31909,Sclerosis of fluid collection,Other,Drainage Procedures,Sclerosis
31910,Sclerosis of cyst,Other,Body Procedures,Sclerosis
31911,Fistula/sinus track manipulation,Other,Drainage Procedures,Fistula/sinus track manipulation
31946,Foreign body retrieval non-vascular,Other,Lymphatic Interventions and Other,Foreign body retrieval non-vascular
31947,Tracheal stent,Other,Lymphatic Interventions and Other,Airway stent general
31948,Bronchial stent,Other,Lymphatic Interventions and Other,Airway stent general
31949,Airway embolization general,Other,Lymphatic Interventions and Other,Airway stent general
32025,Thrombectomy neuro venous,Other,Neurovascular Interventions,Thrombectomy neuro venous
31896,Paracentesis,Paracentesis,Drainage Procedures,Paracentesis
31793,Peritoneal dialysis catheter - placement,Peritoneal dialysis,Dialysis Shunt Management,Peritoneal dialysis catheter
31794,Peritoneal dialysis catheter - manipulation,Peritoneal dialysis,Dialysis Shunt Management,Peritoneal dialysis catheter
31795,Peritoneal dialysis catheter - change,Peritoneal dialysis,Dialysis Shunt Management,Peritoneal dialysis catheter
31796,Peritoneal dialysis catheter - check/injection,Peritoneal dialysis,Dialysis Shunt Management,Peritoneal dialysis catheter
31797,Peritoneal dialysis catheter - removal,Peritoneal dialysis,Dialysis Shunt Management,Peritoneal dialysis catheter
31509,PET,PET,Diagnostic Radiology,PET
31802,Pecutaneous biliary drainage external,Primary GI Intervention,Biliary Interventions,Percutaneous biliary catheter drainage
31803,Percutaneous biliary drainage internal/external,Primary GI Intervention,Biliary Interventions,Percutaneous biliary catheter drainage
31804,Cholecystostomy tube placement,Primary GI Intervention,Biliary Interventions,Cholecystostomy tube placement
31814,Gastrostomy,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31815,Gastrojejunostomy,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31816,Primary GJ placement,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31817,G to GJ conversion,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31818,Jejunostomy,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31819,"Wire placement for PEG, body",Primary GI Intervention,GI Intervention,Percutaneous upper GI access
32942,Transesophageal Gastrostomy,Primary GI Intervention,GI Intervention,Percutaneous upper GI access
31836,Nephrostomy tube placement,Primary Nephrostomy,GU Intervention,Nephrostomy tube placement
31837,Nephroureteral stent antegrade placement,Primary Nephrostomy,GU Intervention,Nephroureteral stent antegrade placement
32939,Oral I-131 LOW,Radiotherapy,Nuclear Medicine Procedures,Radiotherapy
32940,Oral I-131 HIGH,Radiotherapy,Nuclear Medicine Procedures,Radiotherapy
32941,Parenteral radiotracer injection/Theranostics,Radiotherapy,Nuclear Medicine Procedures,Radiotherapy
32937,"Radiotracer injection, sentinel node",Radiotracer Injection,Nuclear Medicine Procedures,Radiotracer injection
32938,"Radiotracer injection, VP shunt reservoir",Radiotracer Injection,Nuclear Medicine Procedures,Radiotracer injection
31781,Tunneled catheter removal,Removal,Venous Access General,Venous access explant
31782,Port removal,Removal,Venous Access General,Venous access explant
31831,GI tube removal,Removal,GI Intervention,GI tube maintenance general
31857,Nephrostomy removal,Removal,GU Intervention,GU tube/stent removal
31858,Nephroureteral stent removal,Removal,GU Intervention,GU tube/stent removal
31907,Drainage tube removal,Removal,Drainage Procedures,Drainage tube removal
31950,Myelography,Spinal puncture,Lymphatic Interventions and Other,Myelography
32934,"Cervical/thoracic puncture, CSF",Spinal puncture,Lymphatic Interventions and Other,Cervical Thoracic CSF puncture
32935,Epidural injection/blood patch,Spinal puncture,Neuro Procedures,Epidural injection/blood patch
32936,"Lumbar Puncture, CSF",Spinal puncture,Lymphatic Interventions and Other,Lumbar CSF puncture
31895,Thoracentesis,Thoracentesis,Drainage Procedures,Thoracentesis
31666,Thrombolysis - aorta,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial thrombolysis - initial
31667,Thrombolysis - lower extremity artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial thrombolysis - initial
31668,Thrombolysis - upper extremity artery (excluding neuro),Thrombolysis/Thrombectomy,Arterial Interventions,Arterial thrombolysis - initial
31669,Thrombolysis - visceral artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial thrombolysis - initial
31672,Mechanical thrombectomy - aorta,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial mechanical thrombectomy
31673,Mechanical thrombectomy - lower extremity artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial mechanical thrombectomy
31674,Mechanical thrombectomy - upper extremity artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial mechanical thrombectomy
31675,Mechanical thrombectomy - neuro artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial mechanical thrombectomy
31676,Mechanical thrombectomy - visceral artery,Thrombolysis/Thrombectomy,Arterial Interventions,Arterial mechanical thrombectomy
31718,Thrombolysis catheter peripheral vein,Thrombolysis/Thrombectomy,Venous Interventions,Venous thrombolysis - initial
